"id","article_title","article_language","journal_title","jounral_abbreviation","journal_issn","article_jvolumn","article_jissue","article_jcreated_at","article_pagination","author_list"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7651401162147522","0.8599620461463928","0.675125241279602","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.0006610554410144687","0.002579445019364357","0.6421321034431458","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7828319668769836","0.8362545371055603","0.20261813700199127","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8022053837776184","0.7699434757232666","0.6804799437522888","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7642097473144531","0.8362545371055603","0.14726857841014862","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7004099488258362","0.8362545371055603","0.608539879322052","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8268359303474426","0.829387366771698","0.6997767090797424","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8153834342956543","0.8451234102249146","0.6442248821258545","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7906237840652466","0.8803289532661438","0.5988380312919617","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8662636876106262","0.8582528233528137","0.49959132075309753","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7518118023872375","0.781729519367218","0.608539879322052","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.74386066198349","0.7839605212211609","0.5187811255455017","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8268359303474426","0.7839605212211609","0.6804799437522888","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.74386066198349","0.781729519367218","0.5988380312919617","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7610810399055481","0.8036237359046936","0.5988380312919617","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7457453608512878","0.781729519367218","0.6027411818504333","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7313701510429382","0.002579445019364357","0.574645459651947","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.6726266145706177","0.8362545371055603","0.43611395359039307","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8568443059921265","0.8572369813919067","0.74228835105896","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7705292105674744","0.7839605212211609","0.5655097961425781","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7417488098144531","0.8599620461463928","0.3210046589374542","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7277488112449646","0.7699434757232666","0.5988380312919617","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7402873635292053","0.7839605212211609","0.31356436014175415","1.0","1.0"
