"id","article_title","article_language","journal_title","jounral_abbreviation","journal_issn","article_jvolumn","article_jissue","article_jcreated_at","article_pagination","author_list"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8248281478881836","0.9144808650016785","0.650974690914154","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.0006982263294048607","0.0009681835072115064","0.5428589582443237","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8517460227012634","0.8736072778701782","0.32616642117500305","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8367961645126343","0.8500739336013794","0.5442569255828857","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8296233415603638","0.8736072778701782","0.2978355586528778","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7971088886260986","0.8736072778701782","0.6287349462509155","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8297374844551086","0.8529718518257141","0.7202406525611877","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8672508001327515","0.8579294681549072","0.6281960010528564","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8640826940536499","0.9042612314224243","0.501166820526123","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.810272216796875","0.879851758480072","0.5032399296760559","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.828893780708313","0.8584076166152954","0.6287349462509155","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7354734539985657","0.8578239679336548","0.5248297452926636","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8297374844551086","0.8578239679336548","0.5442569255828857","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.7354734539985657","0.8584076166152954","0.501166820526123","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8141922950744629","0.8734888434410095","0.501166820526123","1.0","1.0"
"1.0","1.0","1.0","1.0","1.0","1.0","0.8823748230934143","0.8584076166152954","0.6534560918807983","1.0","1.0"
